dia,fecha,cota_Ralco_msnm_0-20%,cota_Pangue_msnm_0-20%,cota_Ralco_msnm_20-40%,cota_Pangue_msnm_20-40%,cota_Ralco_msnm_40-60%,cota_Pangue_msnm_40-60%,cota_Ralco_msnm_60-80%,cota_Pangue_msnm_60-80%,cota_Ralco_msnm_80-100%,cota_Pangue_msnm_80-100%
262,19-Sep,712.01,508.077,710.47,507.794,707.27,508.069,695.73,507.16,693.7,507.0
263,20-Sep,711.82,508.768,710.36,508.584,707.19,508.391,695.66,507.268,693.64,507.151
264,21-Sep,711.62,508.91,710.23,508.384,707.09,508.577,695.55,507.56,693.59,507.231
265,22-Sep,711.57,508.52,710.36,508.249,707.15,508.036,695.61,507.231,693.56,507.231
266,23-Sep,711.51,508.166,710.24,507.844,707.08,508.216,695.67,507.0,693.48,507.207
267,24-Sep,711.43,508.61,710.12,507.835,707.1,508.134,695.64,507.19,693.41,507.18
268,25-Sep,711.39,507.981,710.01,507.43,707.29,507.381,695.68,507.045,693.36,507.151
269,26-Sep,711.31,508.157,709.83,507.961,707.24,507.623,695.58,507.484,693.3,507.121
270,27-Sep,711.23,509.211,709.71,508.262,707.27,507.68,695.59,507.496,693.25,507.089
271,28-Sep,711.14,508.225,709.54,507.926,707.17,508.195,695.53,507.75,693.19,507.057
272,29-Sep,711.08,508.814,709.53,508.069,707.17,508.333,695.54,507.767,693.14,507.023
273,30-Sep,711.09,508.543,709.61,508.097,707.27,507.872,695.74,507.0,693.12,507.0
274,01-Oct,711.0,507.706,709.51,507.841,707.39,507.454,695.77,507.003,693.14,507.0
